Source ID,Target ID,SourceName,TargeName,Source Name Change,Target Name Change,Source Cluster,Target Cluster,Source Jurisdiction,Target Jurisdiction,Source Type,Target Type
58,71,WS Wispear Systems Limited > Passitora Ltd,Aliada Group Inc.,Changed,Unchanged,Intellexa Consortium,Intellexa Consortium,Cyprus,British Virgin Islands,Partner,Investor
71,74,Aliada Group Inc.,Miros Development Group,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,British Virgin Islands,British Virgin Islands,Investor,Investor
74,75,Miros Development Group,Thalestris Limited,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,British Virgin Islands,Ireland,Investor,Investor
76,77,Quadream Inc,InReach Technologies Limited,Unchanged,Unchanged,Quadream Inc; InReach Technologies Limited,Quadream Inc; InReach Technologies Limited,Israel,Cyprus,Vendor,Supplier
76,78,Quadream Inc,A.I.L Nominee Services Ltd (A.I.L),Unchanged,Unchanged,Quadream Inc; InReach Technologies Limited,Quadream Inc; InReach Technologies Limited,Israel,Cyprus,Vendor,Holding Company
76,79,Quadream Inc,DW Ventures,Unchanged,Unchanged,Quadream Inc; InReach Technologies Limited,Quadream Inc; InReach Technologies Limited,Israel,Israel,Vendor,Holding Company
76,80,Quadream Inc,Zovisel > Cycotech Ltd,Unchanged,Changed,Quadream Inc; InReach Technologies Limited,Quadream Inc; InReach Technologies Limited,Israel,Cyprus,Vendor,Holding Company
81,1,Niv Karmi,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
82,1,Omri Lavie,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
83,1,Shalev Hulio ,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
84,1,Eddy Shalev ,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
85,1,Shiri Dolev,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
86,10,Gilad Sahar,Convexum,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Subsidiary
87,10,Niv Magen,Convexum,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Subsidiary
88,10,Tom Gol,Convexum,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Subsidiary
89,11,Individual,Sol Security > Dream Security ,Unchanged,Changed,NSO Group,NSO Group,0,Israel,Individual,Partner
90,1,Yaron Shohat,NSO Group,Unchanged,Unchanged,NSO Group,NSO Group,0,Israel,Individual,Vendor
82,12,Omri Lavie,Dufresne Holdings,Unchanged,Unchanged,NSO Group,NSO Group,0,Luxembourg,Individual,Holding Company
83,11,Shalev Hulio ,Sol Security > Dream Security ,Unchanged,Changed,NSO Group,NSO Group,0,Israel,Individual,Partner
14,91,Francisco Partners Management LLC,Individual,Unchanged,Unchanged,NSO Group,NSO Group,United States,0,Investor,Individual
14,92,Francisco Partners Management LLC,Individual,Unchanged,Unchanged,NSO Group,NSO Group,United States,0,Investor,Individual
16,93,Novalpina Capital,Stefan Kowskin,Unchanged,Unchanged,NSO Group,NSO Group,United Kingdom,0,Investor,Individual
16,94,Novalpina Capital,Bastian Lueken ,Unchanged,Unchanged,NSO Group,NSO Group,United Kingdom,0,Investor,Individual
16,95,Novalpina Capital,Stephen Peel ,Unchanged,Unchanged,NSO Group,NSO Group,United Kingdom,0,Investor,Individual
16,96,Novalpina Capital,Individual,Unchanged,Unchanged,NSO Group,NSO Group,United Kingdom,0,Investor,Individual
107,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
108,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
109,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
110,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
111,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
112,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
113,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
114,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
115,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
116,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
117,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
118,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
119,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
120,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
121,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
122,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
123,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
124,97,Individual Investor,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Investor,Vendor
98,97,Yair Pecht,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Individual,Vendor
99,97,Sharon Oknin,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Individual,Vendor
100,97,Joshua Lesher,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Individual,Vendor
101,97,David Fischler,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,0,Israel,Individual,Vendor
125,29,Individual,ESOP management and trust services,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
126,29,Individual,ESOP management and trust services,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
127,29,Individual,ESOP management and trust services,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
